id_penyumbang,makanan_disumbangkan,jumlah_disumbangkan,lokasi_lat_penyumbang,lokasi_lon_penyumbang,kondisi_makanan,is_halal_donor,is_for_child_donor,is_for_elderly_donor,is_alergan,id_penerima,makanan_dibutuhkan,jumlah_dibutuhkan,lokasi_lat_penerima,lokasi_lon_penerima,frekuensi_menerima,kondisi_makanan_diterima,is_halal_receiver,is_for_child_receiver,is_for_elderly_receiver,is_alergan_free,status_penerima,matching_score
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T1,makanan,1,-5.3864306019901065,105.26266063515553,5,layak_konsumsi,False,False,True,False,tidak mendesak,0.5375
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T2,minuman,20,-5.395715596342399,105.2619966594031,9,hampir_kadaluarsa,True,True,True,False,tidak mendesak,0.6724999999999999
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T3,minuman,46,-5.396494113812611,105.28577151227366,4,tidak_layak konsumsi,True,False,True,False,normal,0.5465217391304348
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T4,makanan_minuman,15,-5.37023611446767,105.2656968734426,5,hampir_kadaluarsa,False,True,False,False,mendesak,0.6074999999999999
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T5,minuman,48,-5.396749754234537,105.27453068998103,10,layak_konsumsi,True,False,False,False,tidak mendesak,0.6380681818181817
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T6,makanan,27,-5.384695057715781,105.27026869812131,9,layak_konsumsi_hampir_kadaluarsa,True,False,False,False,tidak mendesak,0.3686111111111111
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T7,makanan,34,-5.396662394524932,105.24057247214115,1,tidak_layak konsumsi,True,True,False,False,mendesak,0.3463235294117647
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T8,minuman,25,-5.405861402188426,105.24526636423208,7,layak_konsumsi,True,False,True,True,tidak mendesak,0.571375
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T9,makanan,15,-5.372639329426373,105.25765231417024,10,hampir_kadaluarsa,True,True,False,True,tidak mendesak,0.3018181818181819
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T10,makanan_minuman,41,-5.378808574001295,105.2585414717999,2,layak_konsumsi_hampir_kadaluarsa,False,True,False,True,normal,0.5573170731707318
